timestamp,trial_number,trial_name,success,speed,hold_seconds,thumb_root,thumb_swing,index_root,middle_root,ring_root,pinky_root,index_swing,ring_swing,pinky_swing,thumb_rotation
2026-06-22T14:59:49,1,soft_wrap_01,1,60,2.0,150,70,155,155,180,180,130,220,220,88
2026-06-22T15:00:02,2,soft_wrap_02,1,60,2.0,140,70,145,145,170,170,120,215,215,88
2026-06-22T15:00:12,3,soft_wrap_03,1,70,2.0,130,70,135,135,160,160,115,210,210,88
2026-06-22T15:00:20,4,medium_wrap_01,1,70,2.0,120,70,125,125,145,145,105,200,200,88
2026-06-22T15:00:28,5,medium_wrap_02,1,80,2.0,110,70,115,115,135,135,100,195,195,88
2026-06-22T15:00:35,6,medium_wrap_03,1,80,2.0,100,70,105,105,125,125,95,190,190,88
2026-06-22T15:00:43,7,firm_wrap_01,1,90,2.0,90,70,95,95,115,115,90,185,185,88
2026-06-22T15:00:51,8,firm_wrap_02,1,90,2.0,80,70,85,85,105,105,85,180,180,88
2026-06-22T15:00:58,9,firm_wrap_03,1,100,2.0,70,70,75,75,95,95,80,175,175,88
2026-06-22T15:01:05,10,parallel_pinch_01,1,70,2.0,130,100,120,140,230,230,80,255,255,65
2026-06-22T15:01:12,11,parallel_pinch_02,1,80,2.0,115,110,105,125,220,220,75,255,255,60
2026-06-22T15:01:19,12,parallel_pinch_03,1,90,2.0,100,120,90,110,210,210,70,255,255,55
2026-06-22T15:01:26,13,three_finger_01,1,70,2.0,125,90,115,115,255,255,90,255,255,70
2026-06-22T15:01:34,14,three_finger_02,1,80,2.0,110,100,100,100,245,245,85,255,255,65
2026-06-22T15:01:40,15,three_finger_03,1,90,2.0,95,110,85,85,235,235,80,255,255,60
2026-06-22T15:01:47,16,wide_bottle_01,0,70,2.0,170,70,175,175,190,190,145,230,230,95
2026-06-22T15:02:02,17,wide_bottle_02,1,80,2.0,155,75,160,160,180,180,135,225,225,95
2026-06-22T15:02:09,18,narrow_bottle_01,1,70,2.0,95,80,90,90,110,110,85,185,185,75
2026-06-22T15:02:16,19,narrow_bottle_02,1,80,2.0,80,90,75,75,95,95,80,180,180,70
2026-06-22T15:02:22,20,strong_clamp_01,1,100,2.5,65,75,70,70,85,85,70,170,170,80
2026-06-22T15:02:29,21,strong_clamp_02,1,110,2.5,55,75,60,60,75,75,65,165,165,80
2026-06-22T15:09:12,1,soft_wrap_01,0,60,2.0,150,70,155,155,180,180,130,220,220,88
2026-06-22T15:09:21,2,soft_wrap_02,1,60,2.0,140,70,145,145,170,170,120,215,215,88
